C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
122602,0,17.0,0,1.1143292141149688,0.9388423026948798,9,0,True
122701,0,21.0,0,1.1398176251232088,0.7473217215261233,11,0,True
122803,1,11.0,1,0.9657550486075613,0.9657550486075613,6,0,False
123001,0,21.0,0,0.9193176336272808,0.8590925009043513,11,0,True
123101,1,13.0,1,3.1672306695070684,1.224606150445688,7,1,True
123301,0,19.0,0,0.8137959213806414,0.7144744678289221,10,0,True
123401,1,9.0,1,1.2256558948274183,1.1601534056714078,5,1,True
123602,0,21.0,0,2.67462537114506,1.5341929910171581,11,1,False
123603,1,17.0,1,2.8544016432862547,1.1307746333451567,9,1,True
124201,1,5.0,1,4.0103055223366075,2.398510687303247,3,1,True
125001,0,21.0,0,0.9741922721556385,0.7877967343846887,11,0,True
125101,0,11.0,0,0.7578255677561843,0.6888650482299458,6,0,True
125803,1,5.0,1,4.096324951870913,3.055614058632488,3,1,True
125901,0,21.0,0,0.8536003286602463,0.8234629851688243,11,0,True
126301,1,15.0,1,1.4643642836391089,1.1935786022042965,8,1,True
127001,0,19.0,0,1.3156488606636219,1.0376107329638098,10,1,False
127901,0,21.0,0,2.1412875447699364,1.1903775450218976,11,1,False
127902,1,5.0,1,2.648507314663992,2.231306224941346,3,1,True
128601,1,5.0,1,2.7247238066736927,1.6296212679697912,3,1,True
128602,1,11.0,1,1.3382339809475934,1.2184710906692238,6,1,True
129001,0,21.0,0,0.6757092037437312,0.5751571619245658,11,0,True
129301,0,5.0,0,0.8685802692943893,0.8685802692943893,3,0,True
129501,1,7.0,1,1.0796978237419554,0.9024589664447891,4,0,False
129703,0,1.0,0,1.289638316753169,1.289638316753169,1,1,False
130401,1,3.0,1,19.458701993818117,10.19979064064166,2,1,True
130501,0,21.0,0,0.9408792874652048,0.8417304633411646,11,0,True
130803,0,5.0,0,0.9657550486075613,0.9657550486075613,3,0,True
131301,0,19.0,0,0.8838745865798529,0.7847611750726038,10,0,True
132402,0,19.0,0,1.1532533029672538,1.0581315557979782,10,0,True
132403,1,5.0,1,3.0443023817334742,1.7728325642418727,3,1,True
132602,0,21.0,0,5.351011904351551,1.806957940936715,11,1,False
132701,1,5.0,1,1.6785128041070088,1.41410825928675,3,1,True
132802,1,9.0,1,0.8852991696462327,0.8852991696462327,5,0,False
135201,0,19.0,0,0.7812287791679835,0.6905406538705792,10,0,True
135903,1,15.0,1,1.6147750347716399,1.228001467004656,8,1,True
136102,1,13.0,1,0.9408792874652048,0.9324014951928661,7,0,False
136201,1,11.0,1,1.1756755461696746,1.1756755461696746,6,0,False
136202,1,13.0,1,1.2471650858691077,1.2076245476651877,7,1,True
137603,0,15.0,0,1.658093621166079,1.4402311673396155,8,1,False
138101,0,21.0,0,2.1682145640366164,1.053852849584854,11,1,False
138501,1,7.0,1,1.0427770247368242,1.0427770247368242,4,0,False
138802,0,15.0,0,0.6965359126579544,0.6965359126579544,8,0,True
139103,0,19.0,0,0.849970737131506,0.7872498942149642,10,0,True
139802,0,19.0,0,0.9246524442264408,0.9225148026485662,10,0,True
140107,0,5.0,0,1.0231437557057022,1.0231437557057022,3,0,True
140601,1,21.0,1,0.8316134305152096,0.6454348884659389,11,0,False
141402,0,19.0,0,0.5418678544279704,0.47564662427307625,10,0,True
141403,1,5.0,1,0.7192884644552969,0.7192884644552969,3,0,False
141405,0,15.0,0,0.728713288793356,0.728713288793356,8,0,True
141503,1,7.0,1,1.1338464895505354,0.8299965889826508,4,0,False
141504,0,17.0,0,0.6905436268683998,0.614867088633661,9,0,True
142301,0,21.0,0,0.7068832799521797,0.577382766498333,11,0,True
142303,0,19.0,0,0.699633516521562,0.6074150312922765,10,0,True
